ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Start	1	./RMarkdownTest_ddg/RMarkdownTest.R	./RMarkdownTest_ddg/RMarkdownTest.R	FALSE	FALSE	77.945	0	NA
Start	2	setup	setup	FALSE	FALSE	77.948	0	11
Operation	3	library(Ecdat)	library(Ecdat)	FALSE	FALSE	77.95	0	13
Operation	4	library(mosaic)	library(mosaic)	FALSE	FALSE	77.97	0	14
Operation	5	x <- DoctorAUS	x <- DoctorAUS	FALSE	FALSE	77.981	0	15
Finish	6	setup	setup	FALSE	FALSE	78.018	0	16
Start	7	test1	test1	FALSE	FALSE	78.02	0	24
Operation	8	x$sex2 <- "Male"	x$sex2 <- "Male"	FALSE	FALSE	78.022	0	25
Operation	9	x$sex2[x$sex == "1"] <- "Female"	x$sex2[x$sex == "1"] <- "Female"	FALSE	FALSE	78.065	0	26
Operation	10	x$Age <- (x$age) * 100	x$Age <- (x$age) * 100	FALSE	FALSE	78.105	0	27
Operation	11	x$Income <- (x$income) * 10000	x$Income <- (x$income) * 10000	FALSE	FALSE	78.147	0	28
Finish	12	test1	test1	FALSE	FALSE	78.186	0	30
Start	13	ddg.chunk_1	ddg.chunk_1	FALSE	FALSE	78.189	0	31
Operation	14	histogram(~Age, data = x)	histogram(~Age, data = x)	FALSE	FALSE	78.198	0	32
Finish	15	ddg.chunk_1	ddg.chunk_1	FALSE	FALSE	78.223	0	33
Start	16	ddg.chunk_2	ddg.chunk_2	FALSE	FALSE	78.224	0	37
Operation	17	histogram(~illness, data = x)	histogram(~illness, data = x)	FALSE	FALSE	78.234	0	38
Operation	18	histogram(~doctorco, data = x)	histogram(~doctorco, data = x)	FALSE	FALSE	78.463	0	39
Finish	19	ddg.chunk_2	ddg.chunk_2	FALSE	FALSE	78.482	0	40
Start	20	ddg.chunk_3	ddg.chunk_3	FALSE	FALSE	78.486	0	44
Operation	21	histogram(~doctorco, data = x)	histogram(~doctorco, data = x)	FALSE	FALSE	78.496	0	45
Operation	22	x$doctorcobin <- 1	x$doctorcobin <- 1	FALSE	FALSE	78.522	0	46
Operation	23	x$doctorcobin[x$doctorco == "0"] <- 0	x$doctorcobin[x$doctorco == "0"] <- 0	FALSE	FALSE	78.559	0	47
Operation	24	histogram(~doctorcobin, data = x)	histogram(~doctorcobin, data = x)	FALSE	FALSE	78.605	0	48
Finish	25	ddg.chunk_3	ddg.chunk_3	FALSE	FALSE	78.631	0	49
Start	26	test2	test2	FALSE	FALSE	78.633	0	51
Operation	27	histogram(~doctorcobin, data = x)	histogram(~doctorcobin, data = x)	FALSE	FALSE	78.645	0	52
Finish	28	test2	test2	FALSE	FALSE	78.666	0	53
Start	29	test3	test3	FALSE	FALSE	78.667	0	57
Operation	30	x$sex2 <- "Male"	x$sex2 <- "Male"	FALSE	FALSE	78.668	0	58
