"node","name","value","type","scope","line.in","line.out"
1,"x","1-x-PARTIAL.csv","Snapshot","R_GlobalEnv","15","NA"
2,"x","2-x-PARTIAL.csv","Snapshot","R_GlobalEnv","25","NA"
3,"x","3-x-PARTIAL.csv","Snapshot","R_GlobalEnv","26","NA"
4,"x","4-x-PARTIAL.csv","Snapshot","R_GlobalEnv","27","NA"
5,"x","5-x-PARTIAL.csv","Snapshot","R_GlobalEnv","28","32 38 39 45"
6,"x","6-x-PARTIAL.csv","Snapshot","R_GlobalEnv","46","NA"
7,"x","7-x-PARTIAL.csv","Snapshot","R_GlobalEnv","47","48 52"
8,"x","8-x-PARTIAL.csv","Snapshot","R_GlobalEnv","58","NA"
9,"x","9-x-PARTIAL.csv","Snapshot","R_GlobalEnv","59","NA"
10,"x","10-x-PARTIAL.csv","Snapshot","R_GlobalEnv","60","64 73 74 76 77"
11,"lmage","11-lmage.csv","Snapshot","R_GlobalEnv","74","77"
12,"x","12-x-PARTIAL.csv","Snapshot","R_GlobalEnv","85","86"
13,"Quadratic","13-Quadratic.csv","Snapshot","R_GlobalEnv","86","90"
14,"x","14-x-PARTIAL.csv","Snapshot","R_GlobalEnv","98","NA"
15,"x","15-x-PARTIAL.csv","Snapshot","R_GlobalEnv","99","102"
16,"glmill","16-glmill.csv","Snapshot","R_GlobalEnv","102","103 107"
17,"x","17-x-PARTIAL.csv","Snapshot","R_GlobalEnv","107","NA"
18,"x","18-x-PARTIAL.csv","Snapshot","R_GlobalEnv","109","111"
