"","date","airt","f.airt","airtmax","f.airtmax","airtmin","f.airtmin","prec","f.prec"
"1","1964-01-01",-14," ",-6," ",-21," ",0," "
"2","1964-01-02",-7," ",0," ",-14," ",6.4," "
"3","1964-01-03",-2," ",1," ",-4," ",0," "
"4","1964-01-04",2," ",6," ",-2," ",0," "
"5","1964-01-05",0," ",4," ",-4," ",0," "
"6","1964-01-06",-6," ",1," ",-12," ",0," "
"7","1964-01-07",-1," ",4," ",-6," ",0," "
"8","1964-01-08",-5," ",3," ",-12," ",0," "
"9","1964-01-09",-6," ",-1," ",-11," ",10.2," "
"10","1964-01-10",-4," ",1," ",-9," ",0," "
"11","1964-01-11",-4," ",1," ",-8," ",0," "
"12","1964-01-12",-11," ",-4," ",-18," ",0," "
"13","1964-01-13",-13," ",-11," ",-15," ",7.6," "
"14","1964-01-14",-14," ",-11," ",-17," ",0," "
"15","1964-01-15",-16," ",-11," ",-22," ",0," "
"16","1964-01-16",-11," ",-4," ",-18," ",0," "
"17","1964-01-17",-6," ",-1," ",-11," ",0," "
"18","1964-01-18",-8," ",-1," ",-15," ",0," "
"19","1964-01-19",-5," ",1," ",-12," ",0," "
"20","1964-01-20",3," ",6," ",-1," ",45.7," "
"21","1964-01-21",NA,"M",NA,"M",NA,"M",NA,"M"
"22","1964-01-22",NA,"M",NA,"M",NA,"M",NA,"M"
"23","1964-01-23",-2,"Q",5,"Q",-9,"Q",0," "
"24","1964-01-24",1," ",5," ",-4," ",0," "
"25","1964-01-25",5," ",11," ",0," ",0," "
"26","1964-01-26",3," ",9," ",-3," ",21.6," "
"27","1964-01-27",-3," ",3," ",-9," ",0," "
"28","1964-01-28",-2," ",2," ",-5," ",6.4," "
"29","1964-01-29",-11," ",-7," ",-15," ",0," "
"30","1964-01-30",-9," ",-3," ",-14," ",0," "
"31","1964-01-31",-9," ",-2," ",-17," ",0," "
"32","1964-02-01",-7," ",-1," ",-13," ",6.4," "
"33","1964-02-02",-1," ",1," ",-2," ",1.3," "
"34","1964-02-03",-6," ",1," ",-13," ",0," "
"35","1964-02-04",-12," ",-7," ",-17," ",0," "
"36","1964-02-05",-3," ",3," ",-8," ",0," "
"37","1964-02-06",-3," ",4," ",-10," ",0," "
"38","1964-02-07",-1," ",1," ",-3," ",11.4," "
"39","1964-02-08",-3," ",-1," ",-6," ",0," "
"40","1964-02-09",-5," ",-1," ",-9," ",0," "
"41","1964-02-10",-13," ",-4," ",-22," ",0," "
"42","1964-02-11",-13," ",-5," ",-20," ",0," "
"43","1964-02-12",-9," ",-3," ",-15," ",0," "
"44","1964-02-13",-5," ",2," ",-12," ",0," "
"45","1964-02-14",-3," ",2," ",-7," ",0," "
"46","1964-02-15",-5," ",2," ",-12," ",0," "
"47","1964-02-16",-3," ",2," ",-8," ",0," "
"48","1964-02-17",-9," ",-3," ",-15," ",15.2," "
