STATION_NAME,DATE,YEAR,EVAP,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT14,WT07,WT01,WT06,WT05,WT11,WT04,WT16,WT08,WT18,WT03
AMHERST MA US,18930101,1893,NA,NA,NA,0,NA,0,67,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930102,1893,NA,NA,NA,546,NA,13,128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930103,1893,NA,NA,NA,0,NA,0,-6,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930104,1893,NA,NA,NA,0,NA,0,-61,-156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930105,1893,NA,NA,NA,0,NA,0,-39,-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930106,1893,NA,NA,NA,10,NA,38,-56,-117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930107,1893,NA,NA,NA,0,NA,0,-33,-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930108,1893,NA,NA,NA,0,NA,0,-44,-128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930109,1893,1143,NA,NA,NA,NA,127,-28,-161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930110,1893,NA,NA,NA,0,NA,0,-44,-189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930111,1893,NA,NA,NA,0,NA,0,-122,-211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930112,1893,NA,NA,NA,NA,NA,0,-106,-200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930113,1893,NA,NA,NA,0,NA,0,-94,-167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930114,1893,127,NA,NA,NA,NA,13,-67,-194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930115,1893,NA,NA,NA,0,NA,0,-78,-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930116,1893,NA,NA,NA,0,NA,0,-89,-206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930117,1893,NA,NA,NA,0,NA,0,-78,-239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930118,1893,NA,NA,NA,0,NA,0,-67,-228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930119,1893,NA,NA,NA,NA,NA,0,-50,-189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930120,1893,NA,NA,NA,0,NA,0,-61,-206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930121,1893,NA,NA,NA,0,NA,0,-39,-178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930122,1893,NA,NA,NA,0,NA,0,-50,-206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930123,1893,NA,NA,NA,0,NA,0,-17,-161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMHERST MA US,18930124,1893,NA,NA,NA,0,NA,0,22,-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
