Date,AirT,AirTmax,AirTmin,Prec
1/1/1964,-14,-6,-21,0
1/2/1964,-7,0,-14,6.4
1/3/1964,-2,1,-4,0
1/4/1964,2,6,-2,0
1/5/1964,0,4,-4,0
1/6/1964,-6,1,-12,0
1/7/1964,-1,4,-6,0
1/8/1964,-5,3,-12,0
1/9/1964,-6,-1,-11,10.2
1/10/1964,-4,1,-9,0
1/11/1964,-4,1,-8,0
1/12/1964,-11,-4,-18,0
1/13/1964,-13,-11,-15,7.6
1/14/1964,-14,-11,-17,0
1/15/1964,-16,-11,-22,0
1/16/1964,-11,-4,-18,0
1/17/1964,-6,-1,-11,0
1/18/1964,-8,-1,-15,0
1/19/1964,-5,1,-12,0
1/20/1964,3,6,-1,45.7
1/21/1964,NA,NA,NA,NA
1/22/1964,NA,NA,NA,NA
1/23/1964,-2,5,-9,0
1/24/1964,1,5,-4,0
1/25/1964,5,11,0,0
1/26/1964,3,9,-3,21.6
1/27/1964,-3,3,-9,0
1/28/1964,-2,2,-5,6.4
1/29/1964,-11,-7,-15,0
1/30/1964,-9,-3,-14,0
1/31/1964,-9,-2,-17,0
2/1/1964,-7,-1,-13,6.4
2/2/1964,-1,1,-2,1.3
2/3/1964,-6,1,-13,0
2/4/1964,-12,-7,-17,0
2/5/1964,-3,3,-8,0
2/6/1964,-3,4,-10,0
2/7/1964,-1,1,-3,11.4
2/8/1964,-3,-1,-6,0
2/9/1964,-5,-1,-9,0
2/10/1964,-13,-4,-22,0
2/11/1964,-13,-5,-20,0
2/12/1964,-9,-3,-15,0
2/13/1964,-5,2,-12,0
2/14/1964,-3,2,-7,0
2/15/1964,-5,2,-12,0
2/16/1964,-3,2,-8,0
2/17/1964,-9,-3,-15,15.2
2/18/1964,-11,-3,-19,0
2/19/1964,-8,2,-18,NA
2/20/1964,-5,-4,-6,0
2/21/1964,-3,2,-8,0
2/22/1964,-11,-4,-18,0
2/23/1964,-12,-3,-21,0
2/24/1964,-6,1,-12,0
2/25/1964,-11,1,-22,0
2/26/1964,-7,-2,-11,0
2/27/1964,-3,5,-12,0
2/28/1964,-12,-4,-21,0
2/29/1964,-3,2,-7,0
3/1/1964,-1,3,-6,0
3/2/1964,0,6,-6,0
3/3/1964,3,11,-6,0
3/4/1964,6,14,-3,0
3/5/1964,8,13,3,7.6
3/6/1964,5,13,-2,0
3/7/1964,-2,4,-8,0
3/8/1964,2,7,-3,0
3/9/1964,1,3,-1,0
3/10/1964,3,8,-1,30.5
3/11/1964,-4,-1,-8,0
3/12/1964,-5,-2,-8,0
3/13/1964,-5,0,-11,0
3/14/1964,-1,4,-7,0
3/15/1964,NA,NA,NA,0
3/16/1964,4,9,-2,0
3/17/1964,1,5,-4,0
3/18/1964,NA,NA,NA,0
3/19/1964,-5,0,-11,0
3/20/1964,-2,2,-6,0
3/21/1964,1,6,-4,0
