virtual sampling1 (Uniform distribution)
33,180
1,8,1
1,10,1
1,11,2
2,8,1
2,9,1
2,10,1
2,11,1
3,7,1
4,9,1
5,4,1
5,6,1
6,7,1
6,9,1
6,10,2
7,7,1
7,8,1
7,9,2
7,10,1
7,11,2
8,11,2
9,10,2
10,10,4
10,11,2
11,10,1
12,9,1
12,11,2
13,8,1
13,11,1
14,8,1
14,9,3
14,10,1
14,11,3
15,10,1
15,11,1
16,6,1
16,7,1
16,10,1
17,9,1
17,10,1
18,7,1
18,10,1
18,11,2
19,2,1
19,8,1
20,15,1
21,11,2
22,3,1
22,6,1
23,7,1
23,10,1
24,8,2
24,9,1
24,10,1
25,11,1
26,9,1
26,11,1
27,9,1
27,10,2
27,11,1
28,9,2
28,11,1
29,7,1
29,8,1
29,10,1
30,4,1
30,6,1
30,8,1
30,10,3
30,11,4
31,9,1
31,10,1
31,11,2
32,1,1
32,10,2
32,11,4
33,5,1
33,9,1
33,11,1
34,11,1
35,11,4
36,12,1
36,13,1
36,15,1
37,9,2
37,10,2
37,11,1
38,1,1
38,10,1
38,11,2
39,11,6
40,6,1
40,7,1
40,9,1
40,10,1
41,12,2
41,13,2
41,14,1
42,14,1
43,12,8
43,13,6
43,14,7
43,15,3
44,12,1
44,14,1
45,7,1
45,9,1
45,10,1
45,11,3
46,6,1
46,11,2
47,6,1
48,7,1
48,8,1
48,10,3
48,11,2
49,11,1
50,6,2
50,8,1
50,11,5
51,12,1
51,14,2
52,6,1
52,7,2
52,8,1
52,9,3
52,10,1
52,11,3
53,4,1
53,8,1
53,9,1
53,10,2
53,11,1
54,9,1
55,11,2
56,2,1
56,11,1
57,12,6
57,13,6
57,14,4
57,15,1
58,8,1
59,9,1
59,11,1
60,10,1
60,11,3
61,5,2
61,6,2
61,7,1
61,8,4
61,10,6
61,11,3
62,8,1
62,11,1
63,8,1
63,10,1
64,9,1
64,10,1
65,11,3
66,10,1
67,8,1
67,9,1
67,11,1
68,10,2
68,11,3
69,8,3
69,9,1
69,10,4
69,11,4
70,6,2
70,8,2
70,9,2
70,10,2
70,11,4
71,10,1
71,11,1
72,6,1
72,10,1
72,11,2
73,9,1
74,7,1
74,8,2
74,9,3
74,10,1
74,11,3
75,12,1
75,13,2
75,14,1
76,10,1
77,11,2
78,8,1
78,9,2
79,6,1
79,11,2
80,11,2
81,12,1
81,13,1
81,14,1
82,8,2
83,9,2
84,9,1
84,10,1
84,11,4
85,6,2
85,8,2
85,10,4
85,11,8
86,7,1
87,6,1
88,9,1
89,12,1
90,1,1
90,8,1
90,9,1
90,10,1
90,11,3
91,8,1
92,1,1
92,8,1
92,9,4
92,10,6
92,11,8
93,13,2
94,10,1
95,1,1
96,12,4
97,8,1
97,10,1
97,11,1
98,3,1
98,5,1
98,8,3
98,9,2
98,10,3
98,11,1
99,12,2
99,14,2
100,9,1
100,10,2
100,11,3
101,9,2
101,10,1
101,11,2
102,12,2
102,13,1
102,15,1
103,7,3
103,8,1
103,9,2
103,10,2
103,11,4
104,11,1
105,12,1
105,14,1
106,14,1
107,4,1
107,10,2
107,11,2
108,2,1
108,6,1
108,7,2
108,10,1
-1,-1,-1
