"type","year","jul","hm","airt","rh","dewp","prec","slrr","parr","netr","bar","wspd","wres","wdir","wdev","gspd","s10t","date","time","dt"
101,2014,121,15,3.89,95.3,3.213,0.254,0,0.02,-5.204,1013,2.065,1.839,88.4,26.75,5.488,7.59,"2014-05-01","00:15:00",(14-05-01 00:15:00)
101,2014,121,30,3.806,95.4,3.148,0.508,0,0.023,-4.991,1012,2.146,1.949,88,24.55,5.488,7.58,"2014-05-01","00:30:00",(14-05-01 00:30:00)
101,2014,121,45,3.755,95.5,3.11,0.762,0,0.023,-4.422,1012,2.008,1.762,83.8,28.37,4.312,7.57,"2014-05-01","00:45:00",(14-05-01 00:45:00)
101,2014,121,100,3.728,95.6,3.093,1.27,0,0.023,-3.411,1012,2.43,1.974,83.5,35.1,7.45,7.56,"2014-05-01","01:00:00",(14-05-01 01:00:00)
101,2014,121,115,3.705,95.6,3.077,0.762,0,0.025,-3.071,1011,3.021,2.226,88.3,41.49,6.272,7.54,"2014-05-01","01:15:00",(14-05-01 01:15:00)
101,2014,121,130,4.405,95.6,3.774,1.524,0,0.025,-1.798,1011,2.423,1.857,84.4,38.9,11.37,7.53,"2014-05-01","01:30:00",(14-05-01 01:30:00)
101,2014,121,145,4.392,95.5,3.737,1.27,0,0.035,-3.448,1011,2.439,2.181,81.8,26.33,5.292,7.52,"2014-05-01","01:45:00",(14-05-01 01:45:00)
101,2014,121,200,4.204,95.4,3.539,0.762,0,0.032,-1.352,1010,1.908,1.716,77.2,25.74,4.214,7.51,"2014-05-01","02:00:00",(14-05-01 02:00:00)
101,2014,121,215,4.089,95.5,3.432,1.27,0,0.023,-1.308,1010,2.021,1.887,54.86,20.88,4.802,7.49,"2014-05-01","02:15:00",(14-05-01 02:15:00)
101,2014,121,230,4.038,95.6,3.398,1.524,0,0.033,-1.671,1010,1.522,1.368,59.93,25.41,4.312,7.48,"2014-05-01","02:30:00",(14-05-01 02:30:00)
101,2014,121,245,4.027,95.7,3.4,0.762,0,0.036,-0.617,1009,1.569,1.446,66.75,22.69,3.724,7.46,"2014-05-01","02:45:00",(14-05-01 02:45:00)
101,2014,121,300,4.022,95.7,3.405,0.508,0,0.026,-1.021,1009,1.674,1.517,66.91,24.84,3.626,7.45,"2014-05-01","03:00:00",(14-05-01 03:00:00)
101,2014,121,315,3.966,95.8,3.359,0.508,0,0.03,-1.064,1009,1.906,1.767,62.75,21.83,3.92,7.43,"2014-05-01","03:15:00",(14-05-01 03:15:00)
101,2014,121,330,4.013,95.9,3.416,0.254,0,0.029,0.367,1009,1.99,1.833,76.7,22.74,4.802,7.41,"2014-05-01","03:30:00",(14-05-01 03:30:00)
101,2014,121,345,4.156,95.9,3.567,0,0,0.041,0.82,1008,2.692,2.534,78.2,19.6,6.272,7.4,"2014-05-01","03:45:00",(14-05-01 03:45:00)
101,2014,121,400,4.332,95.9,3.747,0.254,0,0.053,0.012,1007,3.045,2.797,75.6,23.1,6.86,7.38,"2014-05-01","04:00:00",(14-05-01 04:00:00)
101,2014,121,415,4.421,96,3.838,0,0,0.039,-0.773,1007,2.802,2.446,78.1,28.87,6.174,7.37,"2014-05-01","04:15:00",(14-05-01 04:15:00)
101,2014,121,430,4.578,96,3.993,0.254,0.003,0.113,-0.114,1007,2.682,2.395,83.1,26.53,6.86,7.35,"2014-05-01","04:30:00",(14-05-01 04:30:00)
101,2014,121,445,4.745,95.9,4.158,0.254,0.108,0.845,0.233,1007,2.874,2.552,84,27.11,7.06,7.34,"2014-05-01","04:45:00",(14-05-01 04:45:00)
