virtual sampling1 (Uniform distribution)
33,180
1,7,1
2,12,3
2,14,2
3,9,1
3,11,1
4,10,1
4,11,1
5,1,1
5,3,1
5,10,1
5,11,3
6,8,1
6,9,1
7,9,2
8,1,1
8,8,2
8,10,1
8,11,1
9,3,1
9,7,1
9,10,2
9,11,2
10,12,1
10,13,1
10,14,1
10,15,1
11,11,1
12,9,1
12,11,1
13,11,1
14,7,1
14,11,3
15,8,2
15,11,2
16,8,1
16,9,1
16,10,1
16,11,1
17,9,2
17,11,1
18,8,2
18,10,1
18,11,3
19,5,1
20,8,1
20,10,1
21,14,1
22,11,3
23,11,1
24,10,2
24,11,2
25,12,2
25,13,1
26,7,1
26,9,2
26,11,1
27,8,1
27,11,3
28,9,1
28,10,2
29,8,1
30,7,1
30,8,1
30,9,1
30,11,2
31,8,1
31,11,1
32,7,1
32,10,1
32,11,1
33,11,2
34,9,1
34,10,1
34,11,2
35,9,1
35,11,1
36,8,1
36,9,1
36,11,3
37,11,1
38,8,1
38,9,1
39,9,1
39,11,3
40,7,1
40,11,1
41,8,1
41,9,1
41,11,1
42,12,2
42,13,5
42,14,4
42,15,1
43,11,3
44,10,1
44,11,2
45,2,1
45,6,1
45,9,4
45,10,1
45,11,2
46,12,1
46,14,2
47,10,1
48,6,1
48,8,1
48,9,1
49,8,1
49,9,1
50,13,1
51,7,1
51,9,1
51,10,1
51,11,4
52,11,1
53,3,1
53,8,2
53,9,5
53,10,6
53,11,3
54,3,1
55,7,1
55,9,1
55,10,1
55,11,1
56,11,1
57,4,1
57,10,1
57,11,2
58,12,1
58,13,1
59,11,1
60,10,1
60,11,1
61,9,1
62,8,1
63,4,1
63,10,1
64,13,1
64,14,1
65,7,1
66,12,1
66,13,1
66,14,1
66,15,1
67,8,2
67,10,1
68,11,6
69,11,4
70,13,1
71,6,1
71,9,3
71,10,1
71,11,2
72,3,1
72,4,1
72,5,1
72,6,2
72,8,2
72,9,1
72,10,3
72,11,6
73,5,1
73,11,4
74,10,1
74,11,1
75,11,1
76,6,1
76,7,1
76,8,3
76,9,1
76,10,4
76,11,2
77,12,1
77,13,3
77,14,1
78,6,1
78,11,3
79,9,1
79,10,2
79,11,1
80,8,1
81,10,1
82,10,1
82,11,2
83,1,1
83,8,2
83,10,5
83,11,2
84,12,3
84,13,3
85,8,1
85,11,1
86,8,1
87,11,1
88,13,2
89,6,1
89,10,1
89,11,1
90,8,1
90,10,1
91,12,1
92,3,1
92,4,1
92,8,1
92,9,1
92,10,1
92,11,1
93,9,1
93,11,3
94,6,1
94,10,2
95,9,1
95,10,1
95,11,1
96,14,2
97,12,5
97,13,7
97,14,4
97,15,1
98,10,3
98,11,1
-1,-1,-1
