virtual sampling1 (Uniform distribution)
33,180
1,12,1
2,7,2
2,9,1
3,8,2
3,9,1
4,6,1
4,11,1
5,6,1
5,9,1
6,10,1
6,11,1
7,3,1
7,9,1
7,10,1
8,2,1
8,9,1
8,10,1
8,11,1
9,9,1
9,11,1
10,12,3
11,9,1
11,11,1
12,1,1
12,7,1
12,8,2
12,9,5
12,10,5
12,11,9
13,10,1
14,3,1
14,8,1
14,11,1
15,7,2
15,8,1
15,11,1
16,6,1
16,10,3
16,11,8
17,7,1
17,8,1
18,13,2
18,14,1
19,10,2
19,11,1
20,10,1
20,11,3
21,11,1
22,2,1
22,10,1
22,11,2
23,8,1
23,10,2
23,11,1
24,9,1
24,10,1
25,9,1
26,6,1
26,7,2
26,8,2
26,9,4
26,10,4
26,11,10
27,10,1
27,11,1
28,9,1
28,11,1
29,9,3
29,10,1
29,11,2
30,9,1
31,11,1
32,11,1
33,11,4
34,10,1
35,7,1
35,8,1
35,10,1
36,6,1
36,10,1
37,8,1
37,11,2
38,6,1
38,9,1
38,11,2
39,8,1
39,9,1
39,10,1
40,13,1
41,13,3
41,15,1
42,10,2
43,7,1
44,13,1
44,14,1
44,15,1
45,10,1
45,11,1
46,14,2
47,12,2
47,13,1
47,15,1
48,6,1
48,11,3
49,11,1
50,11,1
51,9,1
51,10,2
51,11,6
52,11,1
53,12,2
53,13,1
53,14,2
53,15,3
54,11,2
55,5,1
55,7,1
55,9,1
55,10,1
55,11,2
56,10,1
56,11,1
57,10,1
58,9,4
58,10,2
58,11,2
59,9,1
59,10,1
59,11,1
60,13,2
61,6,1
61,7,1
62,8,1
62,10,1
62,11,3
63,6,1
63,11,1
64,8,1
64,9,2
64,10,1
64,11,1
65,11,1
66,2,1
66,6,1
66,8,1
66,10,1
67,4,1
67,6,1
67,9,2
67,10,3
67,11,4
68,9,1
68,11,1
69,4,1
69,7,2
69,8,1
69,9,2
69,10,3
69,11,2
70,3,1
70,10,1
70,11,1
71,10,1
71,11,2
72,13,1
73,9,1
73,10,1
73,11,3
74,7,1
74,9,3
74,10,1
75,8,1
75,10,2
76,12,1
76,13,1
77,9,2
78,12,2
78,13,2
78,14,1
78,15,1
79,4,1
79,5,1
79,9,1
79,11,3
80,14,1
81,7,1
81,8,6
81,9,3
81,10,1
81,11,9
82,11,1
83,7,1
83,8,2
83,9,3
83,11,2
84,4,1
84,9,1
84,10,1
84,11,1
85,9,1
85,11,1
86,6,1
86,7,1
86,9,4
86,10,2
86,11,4
87,12,1
87,13,1
88,5,1
88,6,1
88,7,1
88,10,4
88,11,5
89,8,1
89,10,1
89,11,1
90,12,1
90,13,2
90,14,1
91,9,1
91,10,1
91,11,3
92,6,1
92,7,1
92,8,1
92,9,3
92,11,1
93,12,2
93,14,1
94,7,1
95,8,1
96,12,4
96,13,2
96,14,4
97,10,2
97,11,1
98,6,1
98,10,1
98,11,1
99,8,1
99,11,1
100,7,1
100,8,1
100,11,2
101,14,1
102,12,2
102,13,1
102,14,3
103,11,2
-1,-1,-1
