ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Start	1	CheckpointFileTest.R	CheckpointFileTest.R	FALSE	FALSE	0.012	0	NA
Operation	2	rm(list = ls())	rm(list = ls())	FALSE	FALSE	0.014	0	8
Start	3	/Users/blerner/Documents/Process/DataProvenance/github/RData	/Users/blerner/Documents/Process/DataProvenance/github/RData	FALSE	FALSE	0.074	1	73
Operation	4	.ddg.checkpoint.file.node <- function(fname, dname, checkpoi	.ddg.checkpoint.file.node <- function(fname, dname, checkpoi	FALSE	FALSE	0.088	1	32
Operation	5	.ddg.checkpoint.out <- function(checkpoint.name, filename) {	.ddg.checkpoint.out <- function(checkpoint.name, filename) {	FALSE	FALSE	0.096	1	73
Operation	6	.ddg.record.checkpoint <- function(filename, checkpoint.name	.ddg.record.checkpoint <- function(filename, checkpoint.name	FALSE	FALSE	0.104	1	88
Operation	7	.ddg.lookup.checkpoint.name <- function(filename) {    ddg.c	.ddg.lookup.checkpoint.name <- function(filename) {    ddg.c	FALSE	FALSE	0.12	1	124
Operation	8	.ddg.mark.stale.data <- function(saved.env, checkpointed.env	.ddg.mark.stale.data <- function(saved.env, checkpointed.env	FALSE	FALSE	0.144	1	145
Operation	9	.ddg.restore.ddg.state <- function(saved.env, ddg.env) {    	.ddg.restore.ddg.state <- function(saved.env, ddg.env) {    	FALSE	FALSE	0.153	1	226
Finish	10	/Users/blerner/Documents/Process/DataProvenance/github/RData	/Users/blerner/Documents/Process/DataProvenance/github/RData	FALSE	FALSE	0.166	1	245
Operation	11	write("This file will be deleted", "testfile3.txt")	write("This file will be deleted", "testfile3.txt")	FALSE	FALSE	0.167	0	13
Operation	12	if (!file.exists("testfile3.txt")) {    print("testfile3.txt	if (!file.exists("testfile3.txt")) {    print("testfile3.txt	FALSE	FALSE	0.174	0	14
Operation	13	tryCatch	tryCatch	FALSE	FALSE	0.183	0	19
